"X1" "X2" "X3" "X5" "Y"
"415" 0.27801862311098 0.0931520695406081 0.17447210097912 0.466320207875275 0.111111111111111
"463" 0.40354144405434 0.178071461060292 0.377185324997051 0.191968818708775 0.222222222222222
"179" 0.38849030682339 0.543942992874108 0.458487672525657 0.194083549870078 0.166666666666667
"526" 0.36376125782323 0.4744731389296 0.224961660964964 0.424745152908255 0.166666666666667
"195" 0.05886124255839 0.35042199423864 0.458817978058275 0.212432540475714 0.111111111111111
"118" 0.36446344069608 0.668504573710012 0.539577680783296 0.4773136118329 0.0555555555555556
"299" 0.44588612425584 0.319300550866732 0.250654712752153 0.257857285628624 0.111111111111111
"229" 0.46115096931766 0.164582806893416 0.459242656600212 0.478313012192684 0.111111111111111
"244" 0.36040299190963 0.104745540001012 0.506665093783179 0.351988806715971 0.111111111111111
"14" 0.25495344222256 0.46653358265528 0.545947858912351 0.451329202478514 0.277777777777778
"374" 0.74026866127309 0.792247435184716 0.462781644449688 0.484309414351388 0.444444444444444
"602" 0.68223172034804 0.46834285136706 0.543069482128111 0.550993403957626 0.333333333333333
"603" 0.33216302854526 0.440754030424016 0.479060988557272 0.605848490905457 0.277777777777778
"91" 0.22416424973287 0.743265780562996 0.548661082930281 0.375174895062963 0.166666666666667
"348" 0.20810563272783 0.155202911002172 0.449805355668279 0.450329802118729 0.222222222222222
"649" 0.2393833002595 0.225612776065092 0.144744603043529 0.187287627423545 0.111111111111111
"355" 0.56571515799115 0.497134482235812 0.525162203609768 0.459324405356786 0.222222222222222
"26" 0.39474889329873 0.759347046040328 0.631945263654595 0.502298620827504 0.444444444444444
"519" 0.42830102274462 0.462460201142164 0.182729739294561 0.287427543473916 0.0555555555555556
"426" 0.28899404671043 0.482887754586344 0.318508906452755 0.308414951029382 0.222222222222222
"656" 0.18791024271104 0.351326628594532 0.165506665093783 0.388175094943033 0.166666666666667
"211" 0.26402076018928 0.268969525446 0.417364633714757 0.179492304617229 0.111111111111111
"590" 0.61379941993589 0.140001010764644 0.674413117848296 0.318448930641616 0.444444444444444
"593" 0.51616547092047 0.44159296507808 0.617600566238056 0.397277633419947 0.333333333333333
"555" 0.31466951610441 0.023636731187144 0.150171051079391 0.363661802918249 0.111111111111111
"373" 0.59398565104564 0.792217112245412 0.469033856317093 0.508295022986208 0.444444444444444
"143" 0.52526331857732 0.099100419467328 0.403185089064528 0.476314211473116 0.166666666666667
"544" 0.48546786750114 0.144185576388536 0.184499233219299 0.131720967419549 0.166666666666667
"490" 0.55831170813616 0.199802900894528 0.375557390586292 0.774931041375175 0.444444444444444
"621" 0.53549076476874 0.4975994339718 0.208918249380677 0.127323605836498 0.5
"23" 0.38609372614868 0.85844241168444 0.653462309779403 0.493304017589447 0.444444444444444
"309" 0.18485727369867 0.247020771213424 0.324643152058511 0.357585448730761 0.166666666666667
"135" 0.09052053121661 0.25138222064992 0.452990444732807 0.456326204277433 0.222222222222222
"224" 0.46508929934361 0.473310759589628 0.571003892886635 0.313679792124726 0.277777777777778
"166" 0.44910700656388 0.33007024814272 0.469623687625339 0.347191684989006 0.0555555555555556
"217" 0.13081972217982 0.250401778945772 0.52058511265778 0.486308215070957 0.388888888888889
"290" 0.32926270798351 0.461060292110984 0.286256930517872 0.276054367379573 0.111111111111111
"581" 0.6742482063807 0.23265275180674 0.383980181668043 0.174695182890267 0.166666666666667
"72" 0.46241795145779 0.740612523373932 0.39856081160788 0.297689386368178 0.0555555555555556
"588" 0.32645397649214 0.173391620761104 0.564822460776217 0.25819308414951 0.388888888888889
"575" 0.14058922301939 0.448339819073128 0.347764539341748 0.136518089146512 0.277777777777778
"141" 0.51305144252786 0.36579572446556 0.419275687153475 0.485308814711173 0.166666666666667
"153" 0.23248359029156 0.258422196391572 0.493028193936535 0.341591045372777 0.166666666666667
"294" 0.21950847198901 0.601056249052408 0.301285832251976 0.248251049370378 0.166666666666667
"277" 0.15768584948863 0.621691009248496 0.436829066886871 0.497301619028582 0.5
"670" 0.22607235536559 0.391868398443424 0 0.253048171097341 0.0555555555555556
"41" 0.54942756831018 0.266614443826756 0.425645865282529 0.439336398161104 0.111111111111111
"431" 0.21818043046863 0.287481679890836 0.268986669812433 0.463322006795922 0.111111111111111
"90" 0.36650892993436 0.168868448981656 0.446974165388699 0.310373775734559 0.0555555555555556
"316" 0.42054648145321 0.407969879213624 0.317777515630529 0.272560463721767 0.166666666666667
"223" 0.36373072813311 0.297882448071968 0.403208682316857 0.2884269438337 0.0555555555555556
"528" 0.26347122576706 0.237393237984536 0.23694703314852 0.429342394563263 0.166666666666667
"116" 0.01785986872233 0.2028099257088 0.483071841453344 0.480311812912253 0.0555555555555556
"606" 0.4849641276141 0.146020114216404 0.375439424324643 0.684569258444933 0.277777777777778
"456" 0.40354144405434 0.408652145347956 0.354866108293028 0.388327003797722 0.222222222222222
"598" 0.56128835292322 0.165335826552788 0.514096968267076 0.496302218668798 0.277777777777778
"39" 0.22607235536559 0.45278718350432 0.634540521410876 0.474315410753547 0.555555555555556
"159" 0.15203785681575 0.273083337544852 0.458676418544296 0.484309414351388 0.111111111111111
"209" 0.34147458403297 0.738666801435284 0.418851008611537 0.252164701179292 0.166666666666667
"661" 0.29558845977713 0.514277050588772 0.0760882387637136 0.437337597441535 0.166666666666667
"34" 0.09795451076172 0.506893414868348 0.440839919782943 0.187487507495502 0.111111111111111
"516" 0.56495191573806 0.415742659321776 0.294089890291377 0.297421547071757 0.166666666666667
"13" 0.41437948404824 0.640390155152372 0.571900436475168 0.50129922046772 0.388888888888889
"69" 0.41746298275072 0.581689998483852 0.406676890409343 0.39870477713372 0.111111111111111
"409" 0.62341627232484 0.180598372668924 0.104164209036216 0.530481710973416 0.166666666666667
"308" 0.30548007937719 0.466720574114316 0.289937477881325 0.404357385568659 0.111111111111111
"278" 0.51610441154022 0.497260827816244 0.56588415713106 0.388678792724365 0.833333333333333
"89" 0.13668142268356 0.397402334866328 0.419747552200071 0.336642014791125 0.111111111111111
"537" 0.33077392764463 0.14817304290696 0.115253037631237 0.362930241854886 0.111111111111111
"291" 0.13997862921691 0.110335068479304 0.304706853839801 0.27583449930042 0.222222222222222
"424" 0.36209738971149 0.237731844140092 0.272384098147929 0.187487507495502 0.111111111111111
